498260028881371136,2812
688493445462884363,0629
400670806075506709,0730
392774223405252608,0330
263033886693392385,0256
408769116535652353,0105
275757828671537155,0035
276128918921150464,0007
235885062485311488,0020
696045039515861103,0014
347153687241818112,0004
856253995794300977,0016
263768977790992384,0967
890331756258005022,0002
759213262490566696,1970
459857027615948812,0306
744630292764950624,0002
294196437816967169,0005
162649691312488448,0116
732350495015829596,0010
497193147256799252,0607
352734542983069697,1300
311909453186203649,0108
276482778487586818,0002
441743885266321418,0002
282493154765176832,0001
527972650409132033,0001
490992151748935692,0001
393132092826845184,0002
457264008303738891,0100
452109380691689483,0017
377621036721504256,0003
